"Release Date","Topic","Reference Period","Release Type"
"2023-06-29","Residential property prices","2023-Q1","Selected residential, partial update 1"
"2023-07-27","Residential property prices","2023-Q1","Selected residential, partial update 2"
"2023-08-31","Residential property prices","2023-Q1","Selected residential standard release"
"2023-09-28","Residential property prices","2023-Q2","Selected residential, partial update 1"
"2023-10-26","Residential property prices","2023-Q2","Selected residential, partial update 2"
"2023-11-30","Residential property prices","2023-Q2","Selected residential standard release"
"2023-12-21","Residential property prices","2023-Q3","Selected residential, partial update 1"
"2024-01-25","Residential property prices","2023-Q3","Selected residential, partial update 2"
"2024-02-29","Residential property prices","2023-Q3","Selected residential standard release"
"2024-03-28","Residential property prices","2023-Q4","Selected residential, partial update 1"
"2024-04-25","Residential property prices","2023-Q4","Selected residential, partial update 2"
"2024-05-30","Residential property prices","2024-03","Detailed residential release"
"2024-05-30","Residential property prices","2023-Q4","Selected residential standard release"
"2024-06-27","Residential property prices","2024-04","Detailed residential release"
"2024-06-27","Residential property prices","2024-Q1","Selected residential, partial update 1"
"2024-07-25","Residential property prices","2024-05","Detailed residential release"
"2024-07-25","Residential property prices","2024-Q1","Selected residential, partial update 2"
"2024-08-29","Residential property prices","2024-06","Detailed residential release"
"2024-08-29","Residential property prices","2024-Q1","Selected residential standard release"
"2024-09-26","Residential property prices","2024-07","Detailed residential release"
"2024-09-26","Residential property prices","2024-Q2","Selected residential, partial update 1"
"2024-10-31","Residential property prices","2024-08","Detailed residential release"
"2024-10-31","Residential property prices","2024-Q2","Selected residential, partial update 2"
"2024-11-28","Residential property prices","2024-09","Detailed residential release"
"2024-11-28","Residential property prices","2024-Q2","Selected residential standard release"
"2024-12-19","Residential property prices","2024-10","Detailed residential release"
"2024-12-19","Residential property prices","2024-Q3","Selected residential, partial update 1"
"2025-01-30","Residential property prices","2024-11","Detailed residential release"
"2025-01-30","Residential property prices","2024-Q3","Selected residential, partial update 2"
"2025-02-27","Residential property prices","2024-12","Detailed residential release"
"2025-02-27","Residential property prices","2024-Q3","Selected residential standard release"
"2025-03-27","Residential property prices","2025-01","Detailed residential release"
"2025-03-27","Residential property prices","2024-Q4","Selected residential, partial update 1"
"2025-04-24","Residential property prices","2025-02","Detailed residential release"
"2025-04-24","Residential property prices","2024-Q4","Selected residential, partial update 2"
"2025-05-28","Residential property prices","2025-03","Detailed residential release"
"2025-05-28","Residential property prices","2024-Q4","Selected residential standard release"
"2025-06-26","Residential property prices","2025-04","Detailed residential release"
"2025-06-26","Residential property prices","2025-Q1","Selected residential, partial update 1"
"2025-07-31","Residential property prices","2025-05","Detailed residential release"
"2025-07-31","Residential property prices","2025-Q1","Selected residential, partial update 2"
"2025-08-28","Residential property prices","2025-06","Detailed residential release"
"2025-08-28","Residential property prices","2025-Q1","Selected residential standard release"
"2025-09-25","Residential property prices","2025-07","Detailed residential release"
"2025-09-25","Residential property prices","2025-Q2","Selected residential, partial update 1"
"2025-10-30","Residential property prices","2025-08","Detailed residential release"
"2025-10-30","Residential property prices","2025-Q2","Selected residential, partial update 2"
"2025-11-27","Residential property prices","2025-09","Detailed residential release"
"2025-11-27","Residential property prices","2025-Q2","Selected residential standard release"
"2025-12-30","Residential property prices","2025-10","Detailed residential release"
"2025-12-30","Residential property prices","2025-Q3","Selected residential, partial update 1"
"2026-01-29","Residential property prices","2025-11","Detailed residential release"
"2026-01-29","Residential property prices","2025-Q3","Selected residential, partial update 2"